Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper
2017-2018,Serie A,18,Crotone,38,9,8,21,40,66,-26,35,"10,581","Simeon Nwankwo, Marcello Trotta - 7",Alex Cordaz
2017-2018,Serie A,19,Hellas Verona,38,7,4,27,30,78,-48,25,"17,333","Moise Kean, Giampaolo Pazzini - 4",NÃ­colas Andrade
2017-2018,Serie A,20,Benevento,38,6,3,29,33,84,-51,21,"12,132",Cheick DiabatÃ© - 8,Christian Puggioni
2018-2019,Bundesliga,1,Bayern Munich,34,24,6,4,88,32,56,78,"75,000",Robert Lewandowski - 22,Manuel Neuer
2018-2019,Bundesliga,2,Dortmund,34,23,7,4,81,44,37,76,"80,841",Paco AlcÃ¡cer - 18,Roman BÃ¼rki
2018-2019,Bundesliga,3,RB Leipzig,34,19,9,6,63,29,34,66,"38,380",Timo Werner - 16,PÃ©ter GulÃ¡csi
2018-2019,Bundesliga,4,Leverkusen,34,18,4,12,69,52,17,58,"27,990",Kai Havertz - 17,LukÃ¡Å¡ HrÃ¡deckÃ½
2018-2019,Bundesliga,5,M'Gladbach,34,16,7,11,55,42,13,55,"49,668",Alassane PlÃ©a - 12,Yann Sommer
2018-2019,Bundesliga,6,Wolfsburg,34,16,7,11,62,50,12,55,"24,479",Wout Weghorst - 17,Koen Casteels
2018-2019,Bundesliga,7,Eint Frankfurt,34,15,9,10,60,48,12,54,"49,794",Luka JoviÄ‡ - 17,Kevin Trapp
2018-2019,Bundesliga,8,Werder Bremen,34,14,11,9,58,49,9,53,"41,403",Max Kruse - 11,JiÅ™Ã­ Pavlenka
2018-2019,Bundesliga,9,Hoffenheim,34,13,12,9,70,52,18,51,"28,456",Andrej KramariÄ‡ - 17,Oliver Baumann
2018-2019,Bundesliga,10,DÃ¼sseldorf,34,13,5,16,49,65,-16,44,"43,869","Dodi Lukebakio, Benito Raman - 10",Michael Rensing
2018-2019,Bundesliga,11,Hertha BSC,34,11,10,13,49,57,-8,43,"49,258",Ondrej Duda - 11,Rune Jarstein
2018-2019,Bundesliga,12,Mainz 05,34,12,7,15,46,57,-11,43,"26,246",Jean-Philippe Mateta - 14,Florian MÃ¼ller
2018-2019,Bundesliga,13,Freiburg,34,8,12,14,46,61,-15,36,"23,894",Nils Petersen - 10,Alexander Schwolow
2018-2019,Bundesliga,14,Schalke 04,34,8,9,17,37,55,-18,33,"60,941",Daniel Caligiuri - 7,Alexander NÃ¼bel
2018-2019,Bundesliga,15,Augsburg,34,8,8,18,51,71,-20,32,"28,623",AlfreÃ° Finnbogason - 10,Gregor Kobel
2018-2019,Bundesliga,16,Stuttgart,34,7,7,20,32,70,-38,28,"54,577",Mario GÃ³mez - 7,Ron-Robert Zieler
2018-2019,Bundesliga,17,Hannover 96,34,5,6,23,31,71,-40,21,"38,365",Hendrik Weydandt - 6,Michael Esser
2018-2019,Bundesliga,18,NÃ¼rnberg,34,3,10,21,26,68,-42,19,"40,372","Mikael Ishak, Hanno Behrens - 4",Christian Mathenia
2018-2019,La Liga,1,Barcelona,38,26,9,3,90,36,54,87,"76,104",Lionel Messi - 36,Marc-AndrÃ© ter Stegen
2018-2019,La Liga,2,AtlÃ©tico Madrid,38,22,10,6,55,29,26,76,"56,216",Antoine Griezmann - 15,Jan Oblak
2018-2019,La Liga,3,Real Madrid,38,21,5,12,63,46,17,68,"61,040",Karim Benzema - 21,Thibaut Courtois
2018-2019,La Liga,4,Valencia,38,15,16,7,51,35,16,61,"39,504",Daniel Parejo - 9,Neto
2018-2019,La Liga,5,Getafe,38,15,14,9,48,35,13,59,"11,000","Jaime Mata, Jorge Molina - 14",David Soria
2018-2019,La Liga,6,Sevilla,38,17,8,13,62,47,15,59,"35,993",Wissam Ben Yedder - 18,TomÃ¡Å¡ VaclÃ­k
2018-2019,La Liga,7,Espanyol,38,14,11,13,48,50,-2,53,"19,388",Borja Iglesias - 17,Diego LÃ³pez
2018-2019,La Liga,8,Athletic Club,38,13,14,11,41,45,-4,53,"40,664",IÃ±aki Williams - 12,Iago HerrerÃ­n
2018-2019,La Liga,9,Real Sociedad,38,13,11,14,45,46,-1,50,"22,310",Mikel Oyarzabal - 13,GerÃ³nimo Rulli
2018-2019,La Liga,10,Betis,38,14,8,16,44,52,-8,50,"44,525",Giovani Lo Celso - 9,Pau LÃ³pez
2018-2019,La Liga,11,AlavÃ©s,38,13,11,14,39,50,-11,50,"17,295",Jonathan Calleri - 9,Fernando Pacheco
2018-2019,La Liga,12,Eibar,38,11,14,13,46,50,-4,47,"4,896",Charles - 14,Marko DmitroviÄ‡
2018-2019,La Liga,13,LeganÃ©s,38,11,12,15,37,43,-6,45,"10,416",Youssef En-Nesyri - 9,IvÃ¡n CuÃ©llar
2018-2019,La Liga,14,Villarreal,38,10,14,14,49,52,-3,44,"16,732",Karl Toko Ekambi - 10,Sergio Asenjo
2018-2019,La Liga,15,Levante,38,11,11,16,59,66,-7,44,"20,216",Roger MartÃ­ - 13,Oier OlazÃ¡bal
2018-2019,La Liga,16,Valladolid,38,10,11,17,32,51,-19,41,"18,992",Enes Ãœnal - 6,Jordi Masip
2018-2019,La Liga,17,Celta Vigo,38,10,11,17,53,62,-9,41,"17,603",Iago Aspas - 20,RubÃ©n Blanco
2018-2019,La Liga,18,Girona,38,9,10,19,37,53,-16,37,"10,948",Cristhian Stuani - 19,Yassine Bounou
2018-2019,La Liga,19,Huesca,38,7,12,19,43,65,-22,33,"6,605",Ezequiel Ãvila - 10,Roberto SantamarÃ­a
2018-2019,La Liga,20,Rayo Vallecano,38,8,8,22,41,70,-29,32,"11,928",RaÃºl de TomÃ¡s - 14,Stole Dimitrievski
2018-2019,League 1,1,Paris S-G,38,29,4,5,105,35,70,91,"46,911",Kylian MbappÃ© - 33,Alphonse Areola
2018-2019,League 1,2,Lille,38,22,9,7,68,33,35,75,"34,079",Nicolas PÃ©pÃ© - 22,Mike Maignan
2018-2019,League 1,3,Lyon,38,21,9,8,70,47,23,72,"49,079",Moussa DembÃ©lÃ© - 15,Anthony Lopes
2018-2019,League 1,4,Saint-Ã‰tienne,38,19,9,10,59,41,18,66,"28,400",Wahbi Khazri - 13,StÃ©phane Ruffier
2018-2019,League 1,5,Marseille,38,18,7,13,60,52,8,61,"50,140",Florian Thauvin - 16,Steve Mandanda
2018-2019,League 1,6,Montpellier,38,15,14,9,53,42,11,59,"13,829",Andy Delort - 14,Benjamin Lecomte
2018-2019,League 1,7,Nice,38,15,11,12,30,35,-5,56,"19,126",Youcef Attal - 6,Walter BenÃ­tez
2018-2019,League 1,8,Reims,38,13,16,9,39,42,-3,55,"14,342",Remi Oudin - 10,Edouard Mendy
2018-2019,League 1,9,NÃ®mes,38,15,8,15,57,58,-1,53,"13,994","Renaud Ripart, Denis Bouanga - 8",Paul Bernardoni
2018-2019,League 1,10,Rennes,38,13,13,12,55,52,3,52,"23,675",M'Baye Niang - 11,TomÃ¡Å¡ Koubek
2018-2019,League 1,11,Strasbourg,38,11,16,11,58,48,10,49,"25,216","Ludovic Ajorque, Lebo Mothiba - 9",Matz Sels
2018-2019,League 1,12,Nantes,38,13,9,16,48,48,0,48,"25,185",Emiliano Sala - 12,Ciprian TÄƒtÄƒruÈ™anu
2018-2019,League 1,13,Angers,38,10,16,12,44,49,-5,46,"11,189",StÃ©phane Bahoken - 11,Ludovic Butelle
2018-2019,League 1,14,Bordeaux,38,10,11,17,34,42,-8,41,"20,838",FranÃ§ois Kamano - 10,BenoÃ®t Costil
2018-2019,League 1,15,Amiens,38,9,11,18,31,52,-21,38,"11,043",Moussa KonatÃ© - 7,RÃ©gis Gurtner
2018-2019,League 1,16,Toulouse,38,8,14,16,35,57,-22,38,"16,224",Max Gradel - 11,Baptiste Reynet
2018-2019,League 1,17,Monaco,38,8,12,18,38,57,-19,36,"8,447",Radamel Falcao - 15,Diego Benaglio
2018-2019,League 1,18,Dijon,38,9,7,22,31,60,-29,34,"13,044",JÃºlio Tavares - 5,RÃºnar Alex RÃºnarsson
2018-2019,League 1,19,Caen,38,7,12,19,29,54,-25,33,"16,654","Casimir Ninga, Enzo Crivelli - 6",Brice Samba
2018-2019,League 1,20,Guingamp,38,5,12,21,28,68,-40,27,"14,731",Marcus Thuram - 9,Marc-AurÃ¨le Caillard
2018-2019,EPL,1,Manchester City,38,32,2,4,95,23,72,98,"54,130",Sergio AgÃ¼ero - 21,Ederson
2018-2019,EPL,2,Liverpool,38,30,7,1,89,22,67,97,"52,983","Sadio ManÃ©, Mohamed Salah - 22",Alisson
2018-2019,EPL,3,Chelsea,38,21,9,8,63,39,24,72,"40,437",Eden Hazard - 16,Kepa Arrizabalaga
2018-2019,EPL,4,Tottenham,38,23,2,13,67,39,28,71,"54,216",Harry Kane - 17,Hugo Lloris
2018-2019,EPL,5,Arsenal,38,21,7,10,73,51,22,70,"59,899",Pierre-Emerick Aubameyang - 22,Bernd Leno
2018-2019,EPL,6,Manchester Utd,38,19,9,10,65,54,11,66,"74,498",Paul Pogba - 13,David de Gea
2018-2019,EPL,7,Wolves,38,16,9,13,47,46,1,57,"31,030",RaÃºl JimÃ©nez - 13,Rui PatrÃ­cio
2018-2019,EPL,8,Everton,38,15,9,14,54,46,8,54,"39,043","Gylfi SigurÃ°sson, Richarlison - 13",Jordan Pickford
2018-2019,EPL,9,Leicester City,38,15,7,16,51,48,3,52,"31,851",Jamie Vardy - 18,Kasper Schmeichel
2018-2019,EPL,10,West Ham,38,15,7,16,52,55,-3,52,"58,336",Marko ArnautoviÄ‡ - 10,Åukasz FabiaÅ„ski
2018-2019,EPL,11,Watford,38,14,8,16,52,59,-7,50,"20,016",Gerard Deulofeu - 10,Ben Foster
2018-2019,EPL,12,Crystal Palace,38,14,7,17,51,53,-2,49,"25,455",Luka MilivojeviÄ‡ - 12,Vicente Guaita
2018-2019,EPL,13,Newcastle Utd,38,12,9,17,42,48,-6,45,"51,121",Ayoze PÃ©rez - 12,Martin DÃºbravka
2018-2019,EPL,14,Bournemouth,38,13,6,19,56,70,-14,45,"10,532",Callum Wilson - 14,Asmir BegoviÄ‡
2018-2019,EPL,15,Burnley,38,11,7,20,45,68,-23,40,"20,534",Ashley Barnes - 12,"Tom Heaton, Joe Hart"
2018-2019,EPL,16,Southampton,38,9,12,17,45,65,-20,39,"30,139","James Ward-Prowse, Danny Ings - 7",Alex McCarthy
2018-2019,EPL,17,Brighton,38,9,9,20,35,60,-25,36,"30,426",Glenn Murray - 13,Mathew Ryan
2018-2019,EPL,18,Cardiff City,38,10,4,24,34,69,-35,34,"31,408","VÃ­ctor Camarasa, Bobby Reid - 5",Neil Etheridge
2018-2019,EPL,19,Fulham,38,7,5,26,34,81,-47,26,"24,371",Aleksandar MitroviÄ‡ - 11,Sergio Rico
2018-2019,EPL,20,Huddersfield,38,3,7,28,22,76,-54,16,"23,203","Aaron Mooy, Mathias JÃ¸rgensen... - 3",Jonas LÃ¶ssl
2018-2019,Serie A,1,Juventus,38,28,6,4,70,30,40,90,"37,799",Cristiano Ronaldo - 21,Wojciech SzczÄ™sny
2018-2019,Serie A,2,Napoli,38,24,7,7,74,36,38,79,"29,003",Arkadiusz Milik - 17,David Ospina
2018-2019,Serie A,3,Atalanta,38,20,9,9,77,46,31,69,"18,301",DuvÃ¡n Zapata - 23,Pierluigi Gollini
2018-2019,Serie A,4,Inter,38,20,9,9,57,33,24,69,"57,405",Mauro Icardi - 11,Samir HandanoviÄ‡
2018-2019,Serie A,5,Milan,38,19,11,8,55,36,19,68,"54,651",Krzysztof PiÄ…tek - 9,Gianluigi Donnarumma
2018-2019,Serie A,6,Roma,38,18,12,8,66,48,18,66,"38,622",Stephan El Shaarawy - 11,Robin Olsen
2018-2019,Serie A,7,Torino,38,16,15,7,52,37,15,63,"21,323",Andrea Belotti - 15,Salvatore Sirigu
2018-2019,Serie A,8,Lazio,38,17,8,13,56,46,10,59,"33,997",Ciro Immobile - 15,Thomas Strakosha
2018-2019,Serie A,9,Sampdoria,38,15,8,15,60,51,9,53,"20,263",Fabio Quagliarella - 26,Emil Audero
2018-2019,Serie A,10,Bologna,38,11,11,16,48,56,-8,44,"21,237","Riccardo Orsolini, Federico Santander - 8",Åukasz Skorupski
2018-2019,Serie A,11,Sassuolo,38,9,16,13,53,60,-7,43,"12,369",Domenico Berardi - 8,Andrea Consigli
2018-2019,Serie A,12,Udinese,38,11,10,17,39,53,-14,43,"20,414",Rodrigo De Paul - 9,Juan Musso
2018-2019,Serie A,13,SPAL,38,11,9,18,44,56,-12,42,"14,745",Andrea Petagna - 16,Alfred Gomis
2018-2019,Serie A,14,Parma,38,10,11,17,41,61,-20,41,"16,522",Gervinho - 11,Luigi Sepe
2018-2019,Serie A,15,Cagliari,38,10,11,17,36,54,-18,41,"15,396",Leonardo Pavoletti - 16,Alessio Cragno
2018-2019,Serie A,16,Fiorentina,38,8,17,13,47,45,2,41,"31,178",Marco Benassi - 7,Alban Lafont
2018-2019,Serie A,17,Genoa,38,8,14,16,39,57,-18,38,"20,950",Krzysztof PiÄ…tek - 13,IonuÈ› Radu
2018-2019,Serie A,18,Empoli,38,10,8,20,51,70,-19,38,"9,620",Francesco Caputo - 16,Ivan Provedel
2018-2019,Serie A,19,Frosinone,38,5,10,23,29,69,-40,25,"12,656",Camillo Ciano - 7,Marco Sportiello
2018-2019,Serie A,20,Chievo,38,2,14,22,25,75,-50,17,"12,142",Mariusz StÄ™piÅ„ski - 6,Stefano Sorrentino
2019-2020,Bundesliga,1,Bayern Munich,34,26,4,4,100,32,68,82,"57,353",Robert Lewandowski - 34,Manuel Neuer
2019-2020,Bundesliga,2,Dortmund,34,21,6,7,84,41,43,69,"57,297",Jadon Sancho - 17,Roman BÃ¼rki
2019-2020,Bundesliga,3,RB Leipzig,34,18,12,4,81,37,44,66,"28,819",Timo Werner - 28,PÃ©ter GulÃ¡csi
2019-2020,Bundesliga,4,M'Gladbach,34,20,5,9,66,40,26,65,"36,078","Marcus Thuram, Alassane PlÃ©a - 10",Yann Sommer
2019-2020,Bundesliga,5,Leverkusen,34,19,6,9,61,44,17,63,"21,236",Kai Havertz - 12,LukÃ¡Å¡ HrÃ¡deckÃ½
2019-2020,Bundesliga,6,Hoffenheim,34,15,7,12,53,53,0,52,"20,449",Andrej KramariÄ‡ - 12,Oliver Baumann
2019-2020,Bundesliga,7,Wolfsburg,34,13,10,11,48,46,2,49,"18,621",Wout Weghorst - 16,Koen Casteels
2019-2020,Bundesliga,8,Freiburg,34,13,9,12,48,47,1,48,"16,888",Nils Petersen - 11,Alexander Schwolow
2019-2020,Bundesliga,9,Eint Frankfurt,34,13,6,15,59,60,-1,45,"35,435",AndrÃ© Silva - 12,Kevin Trapp
2019-2020,Bundesliga,10,Hertha BSC,34,11,8,15,48,59,-11,41,"37,689","Dodi Lukebakio, Vedad IbiÅ¡eviÄ‡ - 7",Rune Jarstein
2019-2020,Bundesliga,11,Union Berlin,34,12,5,17,41,58,-17,41,"15,467",Sebastian Andersson - 12,RafaÅ‚ Gikiewicz
2019-2020,Bundesliga,12,Schalke 04,34,9,12,13,38,58,-20,39,"46,681",Suat Serdar - 7,Alexander NÃ¼bel
2019-2020,Bundesliga,13,Mainz 05,34,11,4,19,44,65,-21,37,"20,694",Robin Quaison - 13,Robin Zentner
